"comment_id","channelId","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"1","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","My god y it&#39;s Trump in jail 😳 😮😮😮😮","My god y it's Trump in jail 😳 😮😮😮😮","@Wednesdayschild1325","https://yt3.ggpht.com/E6POH0olOQIq_3qBf5hNSTPwbPPk0X3K-9-pK4RxKRdUNT9-Thwnjuf7wf7j-l3a-TfOlLdw84Y=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Wednesdayschild1325","UC51O9cTgJXQi011L25O3gfA","TRUE","none","0","2024-04-30T20:21:58Z","2024-04-30T20:21:58Z","UgyEJNYUvhVSHUlEMTR4AaABAg",NA,NA
"2","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","january 6th is my bday (no lies)","january 6th is my bday (no lies)","@royalegamer159","https://yt3.ggpht.com/KTXfXIwX3VHIXrxLMYbGkBaUCyQq5MnL0PwVeGhRkc0HlSjbE5tL3_cIibPBRjZKVEB9Q270VQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@royalegamer159","UCvDDNF-aCqSiz3zSG76B8DQ","TRUE","none","0","2024-04-26T22:04:03Z","2024-04-26T22:04:03Z","Ugw23BqiKkQmSYckARN4AaABAg",NA,NA
"3","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","The leftist terrorist insurrection of 2020 was the entire year where they burned looted and murdered in every major city, laid siege to federal buildings and even took over entire portions of some cities declaring indpendence from U.S. authority, a literal insurrection.","The leftist terrorist insurrection of 2020 was the entire year where they burned looted and murdered in every major city, laid siege to federal buildings and even took over entire portions of some cities declaring indpendence from U.S. authority, a literal insurrection.","@ethanwright752","https://yt3.ggpht.com/ytc/AIdro_lLgwjmF_mE4EHz7ofDowPOcnpZWmrW-ElWpFhu4BNt-A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ethanwright752","UCacVxvjLCkBgWL0gTeoobZg","TRUE","none","0","2024-04-21T01:00:34Z","2024-04-21T01:00:34Z","UgwioUvrXhOWN9m3qF14AaABAg",NA,NA
"4","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","January 6, 2021. The Day is It did not Happen. By msm","January 6, 2021. The Day is It did not Happen. By msm","@SusanConstant1607","https://yt3.ggpht.com/ReUI8PLLLDTBN6pJHmG3amc-V6wQOi89-_4_kAkIiApVW_9ZrdCmo3Y0DO1UwnIo2VXop1MfnKw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@SusanConstant1607","UChyBfwUHQL2B058zOraZ1Tg","TRUE","none","0","2024-04-20T23:42:58Z","2024-04-20T23:42:58Z","Ugy3ZTHlnj4g-3YskmV4AaABAg",NA,NA
"5","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Hahaha Ashley Babbit 😂😂😂😂","Hahaha Ashley Babbit 😂😂😂😂","@dustinurey2171","https://yt3.ggpht.com/ytc/AIdro_m251qzoVGpuOpSZQ4hwD4O0ZccXHaimcmtKDtWpPlagAE=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@dustinurey2171","UCRnoD09PcLi6Reqa8Sa_xSQ","TRUE","none","0","2024-04-19T15:16:18Z","2024-04-19T15:16:18Z","UgznPxbRRlFhE3ZjyuJ4AaABAg",NA,NA
"6","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","And do you think it’ll be any different if Donnie loses this election too? Sure, Jan.","And do you think it’ll be any different if Donnie loses this election too? Sure, Jan.","@dustinurey2171","https://yt3.ggpht.com/ytc/AIdro_m251qzoVGpuOpSZQ4hwD4O0ZccXHaimcmtKDtWpPlagAE=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@dustinurey2171","UCRnoD09PcLi6Reqa8Sa_xSQ","TRUE","none","0","2024-04-19T15:14:25Z","2024-04-19T15:14:25Z","UgzaysQkA6PQ6R9wEap4AaABAg",NA,NA
"7","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","This shows what a group of angry Americans can do","This shows what a group of angry Americans can do","@_Mericathebeutifuldumbass","https://yt3.ggpht.com/UawmJYtX7UwAfaLLtH-EO2E_2Xiz5jIyauDLwU1fIXQ0HyDIE2hzATWf6X9DU7woCrhgoMtiTIk=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@_Mericathebeutifuldumbass","UCUB8aEppV6y9aMTaz0txoeA","TRUE","none","0","2024-04-08T04:02:48Z","2024-04-08T04:02:48Z","UgxKYqea8XL7B0Wu4W14AaABAg",NA,NA
"8","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Entitled and having the victim hood mentality.","Entitled and having the victim hood mentality.","@kcking23","https://yt3.ggpht.com/ytc/AIdro_mpQjzrnxAinw5jc4ZEGATb8jIJtm-_FwdHM41nJiN97Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@kcking23","UCEUe2HgAkaWUvIOKJGz3YPg","TRUE","none","0","2024-04-02T17:11:54Z","2024-04-02T17:11:54Z","UgwqeAd1OT5AzVtNMPN4AaABAg",NA,NA
"9","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","beyond horrific to see americans still defend this and say it was &#39;peaceful&#39;. They either have terrible memory or hate their own democracy. If Trump wins this year, he will be a dictator. If trump loses, then this horrific terroristic attack will happen again.","beyond horrific to see americans still defend this and say it was 'peaceful'. They either have terrible memory or hate their own democracy. If Trump wins this year, he will be a dictator. If trump loses, then this horrific terroristic attack will happen again.","@Prauwlet213","https://yt3.ggpht.com/YLdRgT_pdw99kddNp2D1ZUm7fA02JCbeddlW85q1NlymevDmESm0R8aNBjFEK5y0twf0vRi0gA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Prauwlet213","UCUebmT-osQtB_RTTdekF-aQ","TRUE","none","0","2024-03-24T22:07:52Z","2024-03-24T22:07:52Z","UgwtoltfCC_MgmsDTZ54AaABAg",NA,NA
"10","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","im here because of Xunami&#39;s read..","im here because of Xunami's read..","@aquitv4358","https://yt3.ggpht.com/ytc/AIdro_n-v3xwWpAX-pKgsJl8kWQL9I9jKhycA1GtVHJkAAmHHg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@aquitv4358","UCLplRiCuzETMizp0vqlo_5A","TRUE","none","0","2024-03-24T20:56:54Z","2024-03-24T20:56:54Z","UgyLZkigOzTWprm_67B4AaABAg",NA,NA
