company,corporate_office_address,date_founded,name_of_ceo
Trader Joe's,"800 South Shamrock Avenue, Monrovia, CA 91016",4/11/1958,Dan Bane
HEB Grocery,"646 S Flores St, San Antonio, TX 78204",11/26/1905,Charles Butt
Patagonia,"35 W Santa Clara St, Ventura, CA 93001",1/1/1973,Ryan Gellert
The Hershey Company,"1025 Reese Ave, Hershey, PA, 17033",1/1/1894,Michele Buck
Wegmans,"1500 Brooks Ave, Rochester, NY 14624",1/1/1916,Colleen Wegman
Samsung,"1320-20 Seocho 2(i)-dong, Seocho-gu, Seoul, South Korea",1/13/1969,Kim Ki Nam; Kim Hyun Suk; Koh Don-Jin 
Amazon.com,"440 Terry Ave N, Seattle, WA 98109",7/5/1994,Andy Jassy
Toyota Motor Corporation,"1 Toyota-Cho, Toyota City, Aichi Prefecture",8/28/1937,Akio Toyoda
Honda Motor Company,"1919 Torrance Blvd, Torrance, CA 90501",9/24/1948,Toshihiro Mibe
Sony,"1 Sony Dr, Park Ridge, NJ 07656",5/7/1946,Kenichiro Yoshida
IBM,"1 Orchard Rd, Armonk, NY 10504",6/16/1911,Arvind Krishna
Tesla Motors,"860 Washington St, New York, NY 10014",7/1/2003,Elon Musk
Blue Cross Blue Shield Association,"225 North Michigan Ave., Chicago, IL 60601",1/1/1929,Kim A. Keck
Berkshire Hathaway,"3555 Farnam Street, Omaha, NE 68131",1/1/1839,Warren Buffett
Microsoft,"One Microsoft Way,Redmond, WA 98052",6/25/1981,Satya Nadella
The Home Depot,"2455 Paces Ferry Road, Atlanta, GA 30339",6/29/1978,Edward Decker
UPS,"55 Glenlake Parkway, Atlanta, GA 30328",8/28/1907,Carol B. Tome
USAA,"9800 Fredericksburg Rd, San Antonio, TX 78288",6/20/1922,Wayne Peacock
Publix Supermarkets,"3300 Publix Corporate Pkwy, Lakeland, FL 33801",9/6/1930,Todd Jones
Subaru,"1-20-8, Ebisu, Shibuya-ku Tokyo Japan",7/15/1953,Tomomi Nakamura
Apple,"1 Infinite Loop, Cupertino, CA",4/1/1976,Tim Cook
Netflix,"100 Winchester Circle, Los Gatos, CA 95032",8/29/1997,Reed Hastings; Ted Sarandos
3M Company,"2501 Hudson Road, Maplewood, MN 55144",6/13/1902,Mike Roman
General Electric,"5 Necco Street, Boston, MA 02210",4/15/1892,"H. Lawrence Culp, Jr."
The Kroger Company,"1014 Vine St., Cincinnati, OH 45202",1/1/1883,Rodney McMullen
Costco,"999 Lake Drive, Issaquah, WA 98027",7/12/1976,W. Craig Jelinek
LG Corporation,"201 James Record Rd SW Huntsville, AL 35824",10/1/1958,Koo Kwang-mo
Chick-fil-A,"5200 Buffington Rd, Atlanta, GA 30349",5/23/1946,Andrew Truett Cathy
Adidas,"Adi-Dassler-Strasse 1, 91074 Herzogenaurach, Germany",8/18/1949,Kasper RÃ¸rsted
Walgreens,"108 Wilmot Road, Deerfield, IL 60015",2/15/1901,Rosalind Brewer
Google,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",9/4/1998,Sundar Pichai
Target,"1000 Nicollet Mall, Minneapolis, MN 55403",6/24/1902,Brian Cornell
UnitedHealth Group,"9900 Bren Road East, Minnetonka, MN 55343",1/1/1977,Andrew Witty
Lowe's,"667 Madison Ave New York, NY 10065",1/1/1946,Marvin Ellison
Unilever,"800 Sylvan Avenue, Englewood Cliffs, NJ 07632",9/2/1929,Alan Jope
CVS (CVS Health),"1 CVS Drive, Woonsocket, RI 02895",5/8/1963,Karen S. Lynch
